token,log_p_fake,log_p_real,log_odds
sanidad gonzalo,10.393424321242259,9.378178290790954,1.015246030451305
secretaria eajpnv,10.393424321242259,9.378712987281048,1.0147113339612108
organizacion equo,10.393424321242259,9.38386147411594,1.0095628471263183
equo partido,10.337969548952087,9.330631946839878,1.0073376021122087
secretario equo,10.393424321242259,9.386119248933397,1.0073050723088617
pere diego,10.393424321242259,9.386202319022072,1.0072220022201872
equo congreso,10.393424321242259,9.386548733243862,1.0068755879983975
javier zarzalejo,10.393424321242259,9.386650891980342,1.0067734292619175
zarzalejo,10.393424321242259,9.386650891980342,1.0067734292619175
coalicion equo,10.336245574243353,9.331362929862804,1.0048826443805492
catalunya acusar,10.393424321242259,9.391871957964254,1.0015523632780052
generar,8.676732186485983,7.679252724077612,0.9974794624083714
direccion iniciativo,10.393424321242259,9.39722075224877,0.9962035689934883
partido soledad,10.393424321242259,9.398134701334538,0.9952896199077212
portavoz jo,10.334930292909855,9.340482252657516,0.9944480402523386
malversacion fondo,10.025854866488354,9.037489655264231,0.9883652112241226
apoyo equo,10.393424321242259,9.406029254573136,0.9873950666691229
