token,importance,mean_frequency,normalized_importance
creciente,4.606370974510369e-06,0.000243182275002893,0.018941972775288803
votado,2.0062032623493407e-05,0.001059134592183633,0.018941892588210794
frenar,1.6307507611460594e-05,0.0008623189112954072,0.018911203832650558
ley libertad,1.4605740000395746e-06,7.727532785310792e-05,0.018900665192268615
blanquear,2.5923897849525806e-06,0.00013755582507770612,0.018845955360543797
agenda num,9.620430717510372e-06,0.0005105611471007076,0.018842820158410132
moto,5.891506324943766e-07,3.127764796075889e-05,0.018835553033926034
sentencia gurtel,1.5488280488720448e-06,8.229566393179284e-05,0.01882005873477092
telegram,1.9595987605274953e-06,0.00010422811568200234,0.018800876777139028
propaganda,7.450046712292979e-06,0.0003962715557421567,0.018800309545383993
paciente,1.8642709750297492e-06,9.916780900188714e-05,0.01879896505557784
maximo dirigente,8.78857281953073e-07,4.676818749646784e-05,0.018791373744079843
seguir tramitacion,5.92395386875683e-07,3.152641183747785e-05,0.018789851508568167
fascismo,4.3793313187987165e-06,0.0002332621813325547,0.018774207287155474
vicepresidente generalitat,2.233702857756736e-06,0.00011901320963749394,0.01876837114291129
artistico,3.804097168805857e-07,2.027612716011582e-05,0.018760533179908945
mandato num,1.0002764613422566e-06,5.3323403612426186e-05,0.018758324398946716
presentado vox,8.824390312880089e-07,4.7042828760745816e-05,0.018757806380426487
respuesta recurso,1.0475346902592927e-07,5.5880025200905965e-06,0.018742784360782725
asilo,3.0259583528386452e-06,0.00016145820751087633,0.0187413180052603
usd num,1.4182352069477387e-06,7.571412949425083e-05,0.018731199648221265
interrogatorio,2.88693378122292e-06,0.0001541440561701115,0.0187286822746813
fraude electoral,2.051592087851259e-06,0.0001095657988450549,0.01872457815211468
epoca,7.887781544442638e-06,0.000421280874680787,0.01872328723000332
gestion gobierno,2.3249318757585088e-06,0.00012419852640422694,0.018719329638920295
obligacion,8.00268972731875e-06,0.0004275400208281237,0.018717945968828854
combate,3.178290527265887e-06,0.00016981945075319042,0.018715593517562117
apoyo psoe,2.2511168401412606e-06,0.00012037395397974362,0.01870087394193374
iu andalucia,1.7323005698535438e-06,9.263562356533391e-05,0.018699953681189627
taller,2.9634317870804295e-07,1.5858954335415844e-05,0.018684995709369608
colaborador,4.1541447683830846e-06,0.00022236285739735798,0.018681744493034873
adema comisario,1.8680839374195665e-11,0.0,0.018680839374195665
naturaleza,4.289484242883983e-06,0.00022963097608194594,0.01867982114717877
concepto,6.318316470675898e-06,0.00033834635300724594,0.01867405320159424
lourdes,4.599650927569497e-06,0.00024631339215261096,0.018673902435711733
gobierno andaluz,1.3159420237658124e-05,0.0007047234239035735,0.01867314341791382
finales agosto,1.1161397617606846e-06,5.9779762377676124e-05,0.018670550815482467
delito desorden,3.2268467621208106e-07,1.7287880910280206e-05,0.018664289371107205
gobierno anuncio,9.6057992208089e-07,5.148465308189949e-05,0.018657234871875313
tomar posesion,1.8638349249725631e-06,9.991533006907133e-05,0.018653957002665224
alicante,5.683059289156519e-06,0.000304824437784844,0.018643651692769197
andalucia voz,4.787172675408902e-07,2.568488470089781e-05,0.018637367297851235
cumplimiento,1.143591809401947e-05,0.0006137435477787488,0.01863302596399121
trabaje,1.8330388863860567e-06,9.853736488210283e-05,0.01860228641483156
dictaminar,3.274015621197944e-07,1.7605674550265276e-05,0.018595309476817787
pactar unidas,4.1958837638755775e-07,2.256730650453926e-05,0.018591930072518473
sustraer,1.9686126871113887e-06,0.00010592772903156643,0.01858431329356126
suspension,1.6285701760860967e-05,0.0008763834099840403,0.018582829150460976
popular europeo,8.576701530346091e-07,4.618733071849824e-05,0.018568979213858354
balears num,6.768072009944257e-07,3.645168859373414e-05,0.018566729289503276
enric,8.492126429493371e-07,4.57606247464898e-05,0.018557309703355254
teniente,8.496705076418177e-06,0.0004579284857020069,0.018554614502258378
expresidente generalitat,7.6174261510281204e-06,0.00041065764840245487,0.01854928949058165
evasion,1.3985506162476975e-06,7.543931714745243e-05,0.018538503934363768
presion,1.4196944352122538e-05,0.0007667027206083261,0.01851685856025095
continente,2.3450034154374377e-06,0.0001266449762952456,0.018516209389634365
mes marzo,3.7021127968512354e-06,0.0002000140557749979,0.018509170634713808
jaen,4.248905410388512e-06,0.00022968258750290008,0.01849895091147888
beneficiario,1.5857525352410952e-06,8.574453537085978e-05,0.018493703822391735
tercer,1.3355394766103936e-05,0.0007232668360908426,0.0184653514226319
economica,3.077521568771463e-05,0.0016669839051940728,0.018461604296369883
inigo urkullu,3.1008854337058667e-06,0.0001681132842236343,0.01844510386506425
debate publico,1.0685225131951622e-06,5.79346068302915e-05,0.018443278178221955
juego,8.72748662511501e-06,0.0004732461619051276,0.018441709380741345
gripe,1.8969917773945047e-06,0.00010293455875792147,0.01842892582781575
papa,4.678382848040288e-06,0.0002539717202914257,0.018420808513103258
reducido,2.0777523563375877e-06,0.00011285455758043595,0.01841072252783567
meritxell serret,1.5046543596476974e-06,8.173064051044829e-05,0.018409692381683537
actualidad,1.2911077291620704e-05,0.0007014985530137916,0.01840496866484371
presidente tribunal,2.973701484659872e-06,0.00016168989580656658,0.018391273484051687
asalto,4.696491131230345e-06,0.0002555291047609444,0.018379404397865545
legislativo,6.1403718599102125e-06,0.0003342505674019768,0.018370510294498314
interpuesto,3.26795230230343e-06,0.0001779114716739247,0.018368314888530603
jefe gobierno,1.7073980223346555e-06,9.29541511980135e-05,0.018367976387855558
escano unidas,1.813339498306534e-07,9.879336967763891e-06,0.018353012698077313
voto persona,3.015098054253459e-07,1.6438795930363167e-05,0.018340240152767234
ala socialista,2.354957747388522e-06,0.00012841893785513612,0.01833794492289062
ucraniano,1.640438494799135e-06,8.947325408511867e-05,0.018334195815016826
secretario ccoo,3.5846589058882567e-07,1.9558810043900105e-05,0.018326655002491518
estrenar,1.5212825016435026e-07,8.304791249727354e-06,0.018315925068468825
despedido,3.261693349801209e-06,0.00017813642134609432,0.018309984085063336
fernandez vega,1.2692719889955675e-06,6.933544460879443e-05,0.018305986067745052
